id_juego,id_plataforma,id_tiempo,id_rating_critico,global_sales,na_sales,jp_sales,eu_sales,other_sales,id_venta
40,1,298.0,7.0,6.5,2.65,0.16,2.61,1.08,45
20,1,329.0,18.0,6.49,2.57,0.25,2.68,0.99,46
41,2,321.0,1.0,6.33,1.89,0.35,3.13,0.96,47
42,2,321.0,5.0,6.32,0.83,0.05,4.49,0.94,48
43,9,332.0,21.0,6.27,3.11,0.02,2.8,0.33,49
46,9,363.0,23.0,5.74,2.26,1.36,1.89,0.23,50
47,8,305.0,10.0,5.66,3.57,0.0,1.57,0.52,51
48,10,327.0,25.0,5.66,3.09,0.07,1.92,0.58,52
49,1,312.0,18.0,5.57,2.54,0.21,1.95,0.86,53
50,4,305.0,26.0,5.55,3.28,0.07,1.64,0.56,54
51,1,329.0,3.0,5.54,2.72,0.11,1.89,0.82,55
52,4,312.0,24.0,5.5,2.99,0.1,1.9,0.51,56
29,1,274.0,9.0,5.43,2.75,0.0,1.84,0.84,57
54,3,280.0,15.0,5.42,2.07,0.24,2.29,0.82,58
55,1,341.0,10.0,5.35,1.75,1.87,1.23,0.51,59
49,4,312.0,23.0,5.3,3.14,0.08,1.55,0.52,60
56,9,356.0,27.0,5.24,2.3,0.2,2.46,0.28,61
57,3,254.0,11.0,5.23,4.26,0.01,0.26,0.71,62
28,5,321.0,12.0,5.22,3.25,0.01,1.49,0.48,63
58,3,254.0,28.0,5.13,1.98,0.13,2.23,0.8,64
31,5,319.0,17.0,5.13,3.37,0.02,1.26,0.48,65
59,6,363.0,29.0,5.12,3.22,0.0,1.69,0.2,66
60,3,327.0,24.0,5.12,3.81,0.0,0.63,0.68,67
61,10,274.0,29.0,5.1,1.63,0.44,2.46,0.57,68
62,4,341.0,30.0,5.1,3.59,0.05,1.09,0.37,69
63,1,312.0,20.0,5.1,1.96,1.08,1.42,0.64,70
64,1,341.0,6.0,5.08,0.61,0.06,3.28,1.12,71
65,7,327.0,9.0,5.08,1.7,0.16,2.03,1.19,72
66,2,319.0,5.0,5.07,1.81,1.05,1.53,0.68,73
22,5,326.0,9.0,5.03,2.94,0.02,1.62,0.45,74
67,9,332.0,3.0,5.02,3.42,0.02,1.38,0.2,75
69,3,305.0,26.0,4.98,3.49,0.01,0.01,1.48,76
70,1,305.0,6.0,4.97,2.32,0.12,1.73,0.8,77
71,4,274.0,18.0,4.96,3.41,0.09,0.99,0.46,78
72,3,247.0,23.0,4.91,3.98,0.01,0.26,0.66,79
50,1,305.0,26.0,4.83,1.91,0.09,2.01,0.82,80
74,9,332.0,24.0,4.79,2.57,0.44,1.57,0.21,81
47,10,305.0,30.0,4.77,2.83,0.0,1.49,0.45,82
51,4,329.0,11.0,4.75,2.99,0.04,1.28,0.44,83
75,9,300.0,29.0,4.73,2.36,0.02,2.1,0.25,84
76,3,254.0,31.0,4.7,1.73,0.0,2.19,0.79,85
77,9,300.0,17.0,4.68,3.05,0.02,1.41,0.2,86
78,3,263.0,12.0,4.67,1.94,0.08,1.95,0.7,87
79,9,363.0,14.0,4.63,2.29,0.13,1.97,0.24,88
80,4,329.0,23.0,4.6,2.08,0.06,1.98,0.49,89
81,8,305.0,20.0,4.6,3.04,0.0,1.12,0.44,90
42,1,321.0,15.0,4.56,0.59,0.04,3.25,0.68,91
82,8,312.0,32.0,4.54,1.87,0.22,1.97,0.48,92
83,2,319.0,7.0,4.54,1.84,0.17,1.8,0.73,93
84,4,305.0,6.0,4.53,3.19,0.01,0.91,0.42,94
86,3,238.0,11.0,4.53,4.18,0.01,0.26,0.08,95
87,3,263.0,26.0,4.48,2.71,0.03,1.51,0.23,96
88,4,312.0,24.0,4.47,2.89,0.13,1.03,0.41,97
89,3,280.0,23.0,4.41,2.66,0.01,1.29,0.46,98
90,3,305.0,7.0,4.39,0.1,1.05,2.39,0.86,99
92,3,247.0,20.0,4.37,2.03,0.08,1.79,0.47,100
93,8,341.0,33.0,4.37,2.64,0.01,1.33,0.39,101
95,4,321.0,23.0,4.34,2.81,0.0,1.13,0.41,102
98,1,312.0,18.0,4.28,2.26,0.07,1.33,0.63,103
95,1,321.0,23.0,4.27,1.59,0.2,1.81,0.67,104
100,1,329.0,7.0,4.23,1.41,0.1,2.03,0.69,105
100,4,329.0,19.0,4.22,2.28,0.04,1.47,0.44,106
101,3,247.0,9.0,4.21,0.78,0.04,2.55,0.84,107
102,1,312.0,17.0,4.19,2.04,0.59,1.05,0.52,108
37,4,329.0,24.0,4.18,0.85,0.02,2.79,0.52,109
14,2,347.0,16.0,4.17,1.79,0.05,1.64,0.69,110
103,13,477.0,28.0,4.17,3.38,0.31,0.44,0.04,111
24,5,326.0,15.0,4.15,2.49,0.02,1.26,0.38,112
105,3,263.0,1.0,4.14,3.36,0.01,0.21,0.56,113
108,3,327.0,9.0,4.11,0.71,0.03,2.48,0.89,114
109,2,326.0,5.0,4.11,1.65,0.11,1.68,0.66,115
110,6,321.0,29.0,4.1,1.2,0.0,2.6,0.3,116
111,4,341.0,26.0,4.08,2.67,0.04,1.03,0.34,117
112,8,305.0,34.0,4.06,2.12,0.05,1.47,0.42,118
113,2,321.0,9.0,4.06,1.18,0.11,2.14,0.63,119
115,3,327.0,14.0,4.06,0.12,0.9,2.26,0.77,120
116,4,305.0,23.0,4.05,2.35,0.03,1.27,0.41,121
118,3,300.0,6.0,4.05,1.68,0.51,1.51,0.35,122
71,1,274.0,7.0,4.0,2.18,0.07,1.15,0.61,123
20,6,329.0,24.0,3.99,1.18,0.0,2.25,0.56,124
119,2,326.0,6.0,3.98,2.56,0.05,0.66,0.71,125
121,2,359.0,19.0,3.95,1.44,0.15,1.73,0.62,126
122,2,347.0,12.0,3.94,1.4,0.19,1.74,0.62,127
123,1,347.0,6.0,3.94,1.34,0.13,1.86,0.62,128
124,3,254.0,6.0,3.9,2.29,0.01,1.17,0.42,129
125,8,347.0,35.0,3.89,1.91,0.0,1.66,0.33,130
126,1,341.0,27.0,3.88,2.15,0.1,1.13,0.5,131
127,3,247.0,17.0,3.85,0.16,1.12,1.89,0.68,132
129,4,274.0,16.0,3.76,2.4,0.0,1.01,0.36,133
130,6,263.0,36.0,3.76,2.03,0.0,1.56,0.17,134
131,7,305.0,21.0,3.75,1.4,0.1,1.4,0.86,135
13,5,319.0,7.0,3.71,1.04,0.0,2.4,0.27,136
132,3,238.0,9.0,3.7,0.58,0.04,2.48,0.59,137
133,3,263.0,3.0,3.67,2.13,0.01,1.18,0.35,138
134,10,305.0,37.0,3.66,1.58,0.08,1.6,0.4,139
135,7,247.0,38.0,3.66,1.65,0.0,1.22,0.79,140
136,3,263.0,10.0,3.65,2.53,0.06,0.81,0.24,141
122,1,347.0,6.0,3.64,1.31,0.27,1.5,0.55,142
137,3,280.0,18.0,3.64,2.08,0.15,1.09,0.33,143
138,3,274.0,26.0,3.63,0.05,0.64,0.0,2.93,144
139,1,312.0,18.0,3.63,0.6,0.05,2.46,0.52,145
140,8,274.0,9.0,3.62,2.32,0.0,0.96,0.34,146
141,3,280.0,39.0,3.61,2.02,0.0,1.17,0.42,147
142,3,238.0,5.0,3.61,1.93,0.03,1.22,0.44,148
143,6,375.0,17.0,3.61,2.05,0.0,1.4,0.16,149
144,2,326.0,20.0,3.6,0.9,0.08,2.06,0.55,150
145,3,247.0,21.0,3.59,2.18,0.03,1.02,0.37,151
147,10,305.0,15.0,3.58,1.6,0.1,1.49,0.39,152
148,3,254.0,31.0,3.54,1.23,0.05,1.77,0.49,153
149,9,290.0,26.0,3.54,1.66,0.12,1.58,0.18,154
27,3,327.0,12.0,3.54,1.56,0.07,1.4,0.5,155
122,4,347.0,6.0,3.54,2.16,0.02,1.05,0.32,156
98,4,312.0,23.0,3.54,2.24,0.02,0.95,0.33,157
63,4,312.0,20.0,3.53,2.13,0.12,0.93,0.34,158
150,4,341.0,23.0,3.53,2.87,0.03,0.39,0.25,159
151,3,247.0,19.0,3.53,1.98,0.01,1.14,0.41,160
64,4,341.0,6.0,3.52,0.71,0.02,2.39,0.4,161
154,2,319.0,18.0,3.52,2.28,0.03,0.59,0.63,162
156,3,254.0,10.0,3.49,0.59,0.04,2.36,0.51,163
157,4,312.0,12.0,3.48,2.43,0.03,0.72,0.3,164
158,4,341.0,18.0,3.48,2.11,0.04,1.01,0.33,165
82,10,312.0,27.0,3.47,1.21,0.27,1.63,0.37,166
159,10,274.0,22.0,3.46,2.1,0.01,1.01,0.35,167
160,3,263.0,19.0,3.44,1.55,0.33,1.27,0.29,168
161,4,274.0,16.0,3.44,2.07,0.0,1.04,0.34,169
162,5,321.0,7.0,3.44,2.06,0.03,1.04,0.31,170
163,1,329.0,23.0,3.43,1.83,0.06,1.07,0.47,171
164,9,332.0,15.0,3.42,1.13,0.0,2.07,0.22,172
45,5,321.0,12.0,3.41,2.17,0.0,0.92,0.32,173
165,3,238.0,19.0,3.41,1.75,0.02,1.2,0.43,174
167,9,300.0,32.0,3.39,1.56,0.19,1.47,0.17,175
169,2,319.0,12.0,3.36,1.24,0.08,1.5,0.54,176
123,4,347.0,21.0,3.34,1.9,0.01,1.14,0.3,177
172,2,271.0,5.0,3.34,2.13,0.04,0.57,0.59,178
175,3,280.0,5.0,3.31,1.99,0.05,1.05,0.22,179
176,2,326.0,26.0,3.3,2.39,0.0,0.31,0.61,180
177,3,254.0,9.0,3.28,1.5,0.05,1.28,0.46,181
178,2,319.0,21.0,3.28,2.3,0.0,0.37,0.6,182
23,5,326.0,21.0,3.25,0.92,0.0,2.1,0.24,183
182,1,329.0,23.0,3.21,1.29,0.12,1.31,0.49,184
183,9,332.0,40.0,3.21,1.72,0.0,1.33,0.16,185
184,9,300.0,6.0,3.2,1.76,0.07,1.21,0.16,186
123,2,347.0,12.0,3.19,1.07,0.06,1.55,0.51,187
186,2,359.0,11.0,3.18,1.18,0.09,1.4,0.51,188
111,1,341.0,26.0,3.17,1.54,0.1,1.04,0.49,189
188,10,274.0,29.0,3.14,1.87,0.0,0.97,0.3,190
11,5,271.0,10.0,3.14,0.98,0.0,1.92,0.23,191
190,1,305.0,17.0,3.12,1.69,0.14,0.86,0.44,192
193,2,271.0,29.0,3.12,1.07,0.22,1.35,0.47,193
195,4,298.0,20.0,3.11,2.62,0.01,0.21,0.28,194
196,4,341.0,11.0,3.1,1.99,0.03,0.81,0.27,195
161,8,274.0,36.0,3.08,1.8,0.0,0.98,0.29,196
198,4,274.0,19.0,3.07,1.98,0.02,0.79,0.28,197
14,5,347.0,16.0,3.07,1.92,0.0,0.86,0.28,198
161,10,274.0,30.0,3.06,1.75,0.0,1.02,0.29,199
201,4,274.0,16.0,3.05,1.91,0.0,0.84,0.29,200
203,4,298.0,11.0,3.04,1.94,0.03,0.84,0.24,201
204,9,381.0,29.0,3.03,1.54,0.0,1.33,0.16,202
205,14,263.0,17.0,3.02,1.85,0.0,1.04,0.13,203
206,3,247.0,9.0,3.0,1.57,0.0,1.02,0.41,204
158,1,341.0,14.0,2.96,1.33,0.08,1.11,0.44,205
102,4,312.0,17.0,2.95,1.83,0.15,0.7,0.26,206
212,4,298.0,10.0,2.93,2.53,0.0,0.16,0.24,207
42,4,321.0,15.0,2.91,0.8,0.0,1.9,0.21,208
214,4,305.0,24.0,2.91,1.83,0.03,0.79,0.27,209
215,1,329.0,21.0,2.9,1.98,0.0,0.54,0.38,210
217,8,305.0,28.0,2.89,1.41,0.05,1.12,0.3,211
218,4,274.0,15.0,2.89,1.75,0.0,0.86,0.28,212
220,10,305.0,41.0,2.87,1.3,0.0,1.26,0.31,213
221,9,300.0,19.0,2.87,0.09,0.12,2.43,0.22,214
222,2,319.0,15.0,2.87,0.72,0.04,1.67,0.44,215
223,14,263.0,26.0,2.86,2.09,0.03,0.63,0.11,216
150,1,341.0,23.0,2.85,1.87,0.11,0.57,0.3,217
224,4,312.0,20.0,2.83,2.52,0.0,0.09,0.22,218
225,4,305.0,3.0,2.83,1.65,0.05,0.85,0.28,219
229,12,254.0,29.0,2.82,1.59,0.04,1.05,0.14,220
179,15,312.0,30.0,2.82,0.43,0.31,0.91,1.16,221
230,1,341.0,37.0,2.82,1.28,0.07,1.04,0.43,222
231,10,305.0,42.0,2.81,1.32,0.0,1.19,0.3,223
232,1,341.0,14.0,2.81,1.05,0.03,1.24,0.49,224
233,1,329.0,26.0,2.81,1.46,0.09,0.87,0.38,225
235,8,329.0,10.0,2.79,1.35,0.0,1.15,0.3,226
239,9,290.0,43.0,2.79,1.96,0.0,0.72,0.11,227
240,4,274.0,22.0,2.77,1.74,0.0,0.78,0.26,228
241,4,329.0,12.0,2.77,1.26,0.07,1.14,0.3,229
30,6,329.0,14.0,2.76,0.89,0.0,1.44,0.43,230
243,1,298.0,21.0,2.74,0.71,0.06,1.52,0.45,231
244,2,319.0,38.0,2.73,0.63,0.07,1.61,0.41,232
182,4,329.0,23.0,2.73,1.55,0.02,0.92,0.24,233
83,5,319.0,6.0,2.72,1.63,0.0,0.84,0.25,234
245,2,326.0,29.0,2.72,0.59,0.06,1.66,0.41,235
246,4,341.0,12.0,2.71,1.47,0.0,0.99,0.25,236
212,1,298.0,12.0,2.71,2.12,0.0,0.24,0.36,237
247,4,329.0,30.0,2.7,2.43,0.0,0.11,0.16,238
248,4,327.0,10.0,2.7,1.49,0.02,0.92,0.27,239
249,3,327.0,9.0,2.69,1.85,0.01,0.64,0.19,240
250,4,341.0,12.0,2.69,2.38,0.0,0.12,0.19,241
251,3,238.0,17.0,2.68,1.23,0.0,1.11,0.34,242
253,9,332.0,17.0,2.67,1.44,0.0,1.09,0.14,243
254,3,247.0,21.0,2.67,1.48,0.01,0.92,0.26,244
255,1,298.0,12.0,2.66,0.78,0.89,0.75,0.23,245
256,7,327.0,37.0,2.66,0.86,0.01,1.11,0.67,246
257,4,274.0,20.0,2.66,1.78,0.0,0.64,0.25,247
259,1,312.0,26.0,2.65,0.69,0.04,1.4,0.52,248
260,10,327.0,44.0,2.65,1.59,0.0,0.8,0.26,249
230,4,341.0,36.0,2.64,1.58,0.04,0.8,0.22,250
261,4,329.0,23.0,2.64,2.32,0.01,0.14,0.17,251
195,1,298.0,14.0,2.63,1.74,0.05,0.46,0.39,252
139,4,312.0,14.0,2.62,0.6,0.01,1.79,0.23,253
265,2,271.0,26.0,2.62,1.73,0.0,0.42,0.47,254
266,7,312.0,7.0,2.61,0.65,0.01,1.27,0.68,255
268,4,312.0,18.0,2.6,1.08,0.03,1.22,0.27,256
270,1,274.0,20.0,2.59,0.49,0.04,1.63,0.43,257
272,3,327.0,10.0,2.58,1.4,0.03,0.88,0.26,258
276,4,312.0,21.0,2.56,1.76,0.03,0.55,0.22,259
23,1,326.0,18.0,2.55,0.43,0.05,1.68,0.38,260
277,4,274.0,21.0,2.54,2.21,0.0,0.12,0.2,261
278,3,280.0,26.0,2.52,1.13,0.06,1.12,0.22,262
279,1,347.0,14.0,2.51,0.6,0.08,1.45,0.38,263
280,1,274.0,12.0,2.5,1.59,0.05,0.54,0.33,264
282,4,327.0,12.0,2.5,2.29,0.0,0.02,0.19,265
283,14,254.0,8.0,2.49,1.84,0.0,0.56,0.09,266
284,3,263.0,26.0,2.49,1.81,0.0,0.52,0.15,267
285,8,305.0,45.0,2.49,1.47,0.0,0.77,0.24,268
241,1,329.0,12.0,2.48,0.86,0.18,1.06,0.37,269
176,5,326.0,9.0,2.47,2.13,0.0,0.08,0.26,270
288,4,305.0,23.0,2.47,1.93,0.0,0.33,0.21,271
290,4,274.0,12.0,2.47,1.38,0.0,0.84,0.25,272
291,8,341.0,19.0,2.45,1.29,0.0,0.94,0.22,273
178,5,319.0,5.0,2.44,2.14,0.0,0.04,0.26,274
293,9,363.0,6.0,2.44,2.12,0.0,0.25,0.07,275
296,4,274.0,26.0,2.42,1.56,0.02,0.61,0.23,276
297,18,332.0,14.0,2.42,1.26,0.46,0.61,0.08,277
298,7,327.0,35.0,2.42,0.87,0.0,0.97,0.58,278
299,4,329.0,10.0,2.41,1.44,0.04,0.71,0.22,279
300,4,329.0,21.0,2.41,1.73,0.02,0.43,0.23,280
302,1,341.0,46.0,2.41,0.29,0.54,1.18,0.41,281
119,5,326.0,12.0,2.41,2.01,0.0,0.15,0.25,282
303,3,280.0,9.0,2.41,2.07,0.0,0.26,0.08,283
280,4,274.0,10.0,2.4,1.72,0.01,0.45,0.22,284
250,1,341.0,9.0,2.4,2.05,0.0,0.15,0.2,285
307,6,356.0,47.0,2.4,2.3,0.0,0.1,0.0,286
309,12,280.0,37.0,2.39,2.15,0.0,0.18,0.07,287
312,4,329.0,29.0,2.38,1.48,0.0,0.7,0.21,288
314,3,238.0,28.0,2.37,0.96,0.04,1.08,0.3,289
224,1,312.0,21.0,2.37,2.03,0.0,0.13,0.21,290
274,4,305.0,6.0,2.37,2.18,0.0,0.01,0.18,291
316,1,312.0,5.0,2.36,1.39,0.0,0.64,0.33,292
129,8,274.0,30.0,2.35,1.51,0.0,0.62,0.22,293
319,2,321.0,20.0,2.34,1.07,0.08,0.8,0.38,294
320,4,329.0,25.0,2.33,1.38,0.02,0.72,0.21,295
321,4,347.0,30.0,2.33,2.02,0.0,0.07,0.25,296
322,9,290.0,46.0,2.32,0.79,0.04,1.35,0.14,297
323,8,274.0,22.0,2.32,1.18,0.0,0.9,0.24,298
324,5,347.0,12.0,2.32,1.51,0.0,0.59,0.22,299
327,4,341.0,10.0,2.31,1.28,0.0,0.82,0.2,300
47,1,305.0,10.0,2.31,1.02,0.0,0.93,0.36,301
312,1,329.0,37.0,2.29,1.08,0.15,0.74,0.32,302
56,6,356.0,26.0,2.29,0.91,0.0,1.25,0.13,303
291,10,341.0,10.0,2.29,1.07,0.0,1.0,0.22,304
329,1,312.0,29.0,2.28,0.3,0.46,1.27,0.26,305
33,14,238.0,10.0,2.28,1.38,0.0,0.8,0.1,306
247,1,329.0,30.0,2.27,1.93,0.0,0.15,0.18,307
331,2,319.0,32.0,2.26,0.89,0.04,0.97,0.37,308
84,1,305.0,26.0,2.25,1.4,0.02,0.53,0.3,309
336,8,327.0,32.0,2.24,1.17,0.0,0.84,0.23,310
340,3,254.0,18.0,2.22,0.88,0.0,1.03,0.31,311
240,1,274.0,32.0,2.22,1.01,0.0,0.86,0.35,312
60,4,305.0,24.0,2.21,2.01,0.0,0.02,0.17,313
343,4,274.0,24.0,2.2,1.78,0.0,0.24,0.18,314
232,4,341.0,7.0,2.2,1.03,0.0,0.96,0.21,315
344,4,341.0,20.0,2.2,1.45,0.02,0.54,0.2,316
346,10,305.0,36.0,2.2,1.06,0.0,0.9,0.23,317
42,5,321.0,19.0,2.19,0.64,0.0,1.39,0.16,318
348,1,329.0,16.0,2.19,0.34,0.55,0.97,0.32,319
349,14,254.0,1.0,2.19,1.68,0.0,0.44,0.08,320
55,4,341.0,5.0,2.19,1.3,0.01,0.67,0.21,321
351,2,271.0,48.0,2.18,0.62,0.04,1.18,0.34,322
352,3,263.0,6.0,2.18,1.92,0.0,0.2,0.06,323
356,8,312.0,46.0,2.16,1.5,0.0,0.46,0.19,324
361,7,305.0,39.0,2.14,0.52,0.0,1.03,0.59,325
362,6,437.0,10.0,2.14,1.2,0.0,0.84,0.1,326
261,1,329.0,18.0,2.13,1.62,0.05,0.27,0.18,327
157,1,312.0,26.0,2.12,1.22,0.0,0.61,0.29,328
215,4,329.0,20.0,2.12,1.64,0.0,0.31,0.17,329
365,19,300.0,17.0,2.11,1.68,0.0,0.4,0.03,330
366,3,263.0,6.0,2.11,1.68,0.02,0.31,0.09,331
281,1,274.0,31.0,2.11,0.11,0.4,1.34,0.26,332
367,4,341.0,7.0,2.11,1.86,0.01,0.12,0.13,333
268,1,341.0,18.0,2.09,0.62,0.13,0.99,0.34,334
370,7,247.0,35.0,2.09,1.77,0.02,0.13,0.17,335
373,7,341.0,20.0,2.08,0.46,0.96,0.42,0.25,336
288,8,274.0,26.0,2.08,1.33,0.0,0.56,0.2,337
374,6,332.0,5.0,2.08,2.04,0.0,0.04,0.0,338
376,4,329.0,3.0,2.08,1.41,0.01,0.49,0.17,339
377,4,312.0,9.0,2.07,1.48,0.0,0.39,0.19,340
381,10,327.0,49.0,2.07,0.92,0.0,0.93,0.22,341
382,4,247.0,7.0,2.06,1.84,0.01,0.04,0.16,342
383,9,332.0,23.0,2.06,0.68,0.79,0.46,0.13,343
384,12,238.0,50.0,2.06,1.15,0.04,0.77,0.1,344
387,4,341.0,20.0,2.06,1.2,0.04,0.62,0.19,345
388,1,274.0,28.0,2.06,0.63,0.05,1.01,0.38,346
390,1,329.0,18.0,2.05,0.75,0.54,0.53,0.22,347
391,1,274.0,27.0,2.05,1.52,0.0,0.29,0.25,348
301,4,305.0,22.0,2.05,1.04,0.01,0.79,0.21,349
395,2,359.0,11.0,2.04,0.29,1.43,0.22,0.1,350
396,4,305.0,20.0,2.04,0.48,0.02,1.28,0.25,351
301,1,305.0,38.0,2.04,0.73,0.04,0.91,0.36,352
154,5,319.0,7.0,2.04,1.7,0.0,0.12,0.21,353
397,4,329.0,20.0,2.04,1.45,0.01,0.41,0.16,354
401,1,347.0,16.0,2.04,1.62,0.0,0.03,0.38,355
403,8,274.0,22.0,2.03,0.72,0.0,1.08,0.23,356
327,1,341.0,5.0,2.03,0.73,0.02,0.96,0.31,357
172,5,271.0,31.0,2.02,1.67,0.0,0.14,0.21,358
404,2,319.0,6.0,2.02,0.37,0.0,1.34,0.31,359
405,4,329.0,47.0,2.02,1.47,0.0,0.39,0.16,360
406,1,329.0,51.0,2.01,0.58,0.03,1.05,0.35,361
407,10,305.0,15.0,2.0,0.48,0.0,1.27,0.24,362
408,1,274.0,14.0,2.0,1.05,0.0,0.66,0.29,363
409,9,290.0,7.0,1.99,0.95,0.27,0.64,0.13,364
267,12,263.0,38.0,1.99,1.21,0.05,0.64,0.09,365
391,4,274.0,27.0,1.99,1.58,0.0,0.23,0.18,366
411,2,326.0,16.0,1.98,0.53,0.09,1.07,0.3,367
416,7,247.0,9.0,1.96,0.5,0.63,0.5,0.33,368
418,4,327.0,7.0,1.95,1.09,0.02,0.65,0.2,369
419,14,247.0,24.0,1.95,1.26,0.0,0.61,0.09,370
422,1,274.0,18.0,1.95,1.01,0.02,0.63,0.28,371
425,8,274.0,5.0,1.94,1.17,0.0,0.58,0.18,372
270,4,274.0,6.0,1.94,0.49,0.01,1.26,0.18,373
430,3,238.0,20.0,1.93,1.0,0.0,0.72,0.21,374
434,22,280.0,1.0,1.92,0.92,0.41,0.53,0.06,375
257,1,274.0,21.0,1.92,1.1,0.0,0.55,0.27,376
435,3,280.0,23.0,1.92,0.76,0.0,0.96,0.2,377
265,5,271.0,7.0,1.91,1.63,0.0,0.07,0.2,378
259,4,312.0,26.0,1.91,0.73,0.01,0.96,0.22,379
437,23,280.0,24.0,1.9,1.03,0.03,0.75,0.09,380
279,4,347.0,21.0,1.9,0.86,0.01,0.87,0.16,381
277,1,274.0,20.0,1.89,1.56,0.0,0.15,0.18,382
440,24,359.0,24.0,1.89,0.69,0.52,0.56,0.12,383
442,3,238.0,35.0,1.88,0.92,0.0,0.72,0.24,384
446,9,332.0,7.0,1.87,0.22,0.04,1.47,0.14,385
448,1,329.0,5.0,1.87,1.05,0.08,0.48,0.26,386
449,3,238.0,10.0,1.86,0.0,0.0,1.37,0.49,387
450,9,300.0,30.0,1.86,0.94,0.39,0.44,0.1,388
451,10,341.0,16.0,1.86,0.94,0.0,0.74,0.18,389
452,22,280.0,17.0,1.86,0.87,0.41,0.52,0.06,390
453,2,321.0,31.0,1.86,0.56,0.11,0.9,0.28,391
454,3,238.0,15.0,1.86,1.12,0.03,0.69,0.02,392
455,8,274.0,32.0,1.86,1.11,0.0,0.56,0.19,393
460,5,359.0,24.0,1.84,0.74,0.01,0.95,0.15,394
461,8,305.0,25.0,1.84,0.82,0.0,0.82,0.2,395
169,5,319.0,5.0,1.83,1.13,0.0,0.53,0.17,396
414,1,347.0,11.0,1.82,0.74,0.04,0.74,0.3,397
467,4,305.0,2.0,1.82,1.09,0.02,0.53,0.17,398
470,18,300.0,17.0,1.81,1.1,0.12,0.51,0.08,399
477,8,329.0,16.0,1.79,1.01,0.0,0.62,0.15,400
482,5,359.0,38.0,1.78,1.14,0.0,0.47,0.17,401
484,3,263.0,10.0,1.76,0.86,0.0,0.67,0.22,402
377,1,312.0,9.0,1.76,1.07,0.01,0.45,0.24,403
488,3,238.0,25.0,1.76,1.06,0.0,0.54,0.16,404
447,8,305.0,52.0,1.76,1.15,0.0,0.45,0.16,405
493,1,341.0,12.0,1.75,0.45,0.06,0.92,0.32,406
187,1,305.0,21.0,1.75,0.35,0.02,1.07,0.31,407
501,12,263.0,12.0,1.73,0.95,0.0,0.7,0.08,408
